Handle,Title,Vendor,SKU,Retail Price,Cost Per Item
bamboo-blend-ruffle-zip-footie-woodland-dreams,Bamboo Blend Ruffle Zip Footie,Apple Park & Organic Farm Buddies,TP1858,42.0,27.3
bamboo-blend-short-sleeve-henley-romper-farmyard-cruisers,Bamboo Blend Short Sleeve Henley Romper – Farmyard Cruisers,Apple Park & Organic Farm Buddies,TP2089,42.0,27.3
bamboo-blend-short-sleeve-pocket-tee-blooming-saguaro,Bamboo Blend Short Sleeve Pocket Tee,Apple Park & Organic Farm Buddies,TP2202,29.0,18.85
bamboo-blend-short-sleeve-pocket-tee-breezy-bay-stripe,Bamboo Blend Short Sleeve Pocket Tee,Apple Park & Organic Farm Buddies,TP2147,29.0,18.85
bamboo-blend-short-sleeve-twirly-tee-dress-blooming-saguaro,Bamboo Blend Short Sleeve Twirly Tee Dress,Apple Park & Organic Farm Buddies,TP2193,39.0,25.35
bamboo-blend-short-sleeve-twirly-tee-dress-sugar-rush,Bamboo Blend Short Sleeve Twirly Tee Dress,Apple Park & Organic Farm Buddies,TP2176,39.0,25.35
bamboo-blend-short-sleeve-twirly-tee-dress-seaside-treasures,Bamboo Blend Short Sleeve Twirly Tee Dress,Apple Park & Organic Farm Buddies,TP2109,39.0,25.35
bamboo-blend-skirted-romper-breezy-bay-stripe,Bamboo Blend Skirted Romper,Apple Park & Organic Farm Buddies,TP2142,38.0,24.7
bamboo-blend-skirted-romper-sugar-rush,Bamboo Blend Skirted Romper,Apple Park & Organic Farm Buddies,TP2171,38.0,24.7
bamboo-blend-sleeveless-coverall-romper-blooming-saguaro,Bamboo Blend Sleeveless Coverall Romper,Apple Park & Organic Farm Buddies,TP2188,22.2,14.43
bamboo-blend-sleeveless-coverall-romper-breezy-bay-stripe,Bamboo Blend Sleeveless Coverall Romper,Apple Park & Organic Farm Buddies,TP2137,22.2,14.43
bamboo-blend-snap-footie-horseshoe-stroller-toy-set-canyon,Bamboo Blend Snap Footie & Horseshoe Stroller Toy Set,Apple Park & Organic Farm Buddies,TP1014 & TP0950,58.5,38.03
bamboo-blend-snap-footie-horseshoe-stroller-toy-set-wild-horses,Bamboo Blend Snap Footie & Horseshoe Stroller Toy Set,Apple Park & Organic Farm Buddies,TP1015 & TP0979,58.5,38.03
bamboo-blend-squirrel-scurry-pjs-matching-doll-pajamas,Bamboo Blend Squirrel Scurry PJs + Matching Doll Pajamas,Apple Park & Organic Farm Buddies,TP1981 and TP1835,60.0,39.0
bamboo-blend-woodland-dreams-pjs-matching-doll-pajamas,Bamboo Blend Woodland Dreams PJs + Matching Doll Pajamas,Apple Park & Organic Farm Buddies,TP1982 & TP1875,60.0,39.0
bamboo-blend-wrap-front-long-sleeve-layette-jacket-blooming-saguaro,Bamboo Blend Wrap-Front Long Sleeve Layette Jacket,Apple Park & Organic Farm Buddies,TP2220,28.0,18.2
bamboo-blend-wrap-front-long-sleeve-layette-jacket-woodland-dreams,Bamboo Blend Wrap-Front Long Sleeve Layette Jacket,Apple Park & Organic Farm Buddies,TP1882,28.0,18.2
bamboo-blend-wrap-front-long-sleeve-layette-jacket-wild-at-heart,Bamboo Blend Wrap-Front Long Sleeve Layette Jacket,Apple Park & Organic Farm Buddies,TP1888,28.0,18.2
bamboo-blend-zip-footie-sugar-rush,Bamboo Blend Zip Footie,Apple Park & Organic Farm Buddies,TP2185,41.5,26.98
bamboo-blend-zip-footie-seaside-treasures,Bamboo Blend Zip Footie,Apple Park & Organic Farm Buddies,TP2118,41.5,26.98
bamboo-blend-zip-footie-squirrel-scurry,Bamboo Blend Zip Footie,Apple Park & Organic Farm Buddies,TP1823,41.5,26.98
bamboo-blend-zip-footie-chill-quill,Bamboo Blend Zip Footie,Apple Park & Organic Farm Buddies,TP1783,41.5,26.98
bamboo-blend-zipper-footie-little-bear-plush-set-minty-bear-bloom,Bamboo Blend Zipper Footie & Little Bear Plush Set - Minty Bear Bloom,Apple Park & Organic Farm Buddies,TP1011 & TP0926,70.5,45.83
bamboo-blend-zipper-footie-with-ruffles-minty-bear-bloom,Bamboo Blend Zipper Footie with Ruffles - Minty Bear Bloom,Apple Park & Organic Farm Buddies,TP0926,42.5,27.63
bamboo-zipper-footie-with-ruffles-boho-woodland,Bamboo Zipper Footie with Ruffles - Boho Woodland,Apple Park & Organic Farm Buddies,TP0897,42.5,27.63
belle-cow-plush,Belle Cow - Plush,Apple Park & Organic Farm Buddies,TF005,24.0,15.6
belle-cow-pacifier-buddy,Belle Cow -Pacifier Buddy,Apple Park & Organic Farm Buddies,TF184,20.0,13.0
belle-the-cow-blankie,Belle the Cow - Blankie,Apple Park & Organic Farm Buddies,TF021,20.0,13.0
